neighborhood,condemned
Allegheny Center,0.0
Allegheny West,3.0
Allentown,103.0
Arlington,33.0
Arlington Heights,0.0
Banksville,3.0
Bedford Dwellings,9.0
Beechview,40.0
Beltzhoover,97.0
Bloomfield,33.0
Bluff,93.0
Bon Air,1.0
Brighton Heights,26.0
Brookline,54.0
California Kirkbride,0.0
California-Kirkbride,17.0
Carrick,58.0
Central Business District,21.0
Central Lawrenceville,61.0
Central Northside,68.0
Central Oakland,8.0
Chartiers City,6.0
Chateau,0.0
Crafton Heights,15.0
Crawford-Roberts,19.0
Duquesne Heights,11.0
East Allegheny,94.0
East Carnegie,2.0
East Hills,36.0
East Liberty,9.0
Elliott,36.0
Esplen,10.0
Fairywood,5.0
Fineview,39.0
Friendship,0.0
Garfield,141.0
Glen Hazel,2.0
Golden Triangle/Civic Arena,0.0
Greenfield,35.0
Hays,0.0
Hazelwood,103.0
Highland Park,14.0
Homewood North,123.0
Homewood South,82.0
Homewood West,21.0
Knoxville,99.0
Larimer,62.0
Lincoln Place,25.0
Lincoln-Lemington-Belmar,62.0
Lower Lawrenceville,20.0
Manchester,81.0
Marshall-Shadeland,70.0
Middle Hill,77.0
Morningside,19.0
Mount Oliver Neighborhood,0.0
Mount Washington,94.0
Mt. Oliver,3.0
New Homestead,3.0
North Oakland,0.0
North Shore,2.0
Northview Heights,0.0
Oakwood,1.0
Overbrook,14.0
Perry North,36.0
Perry South,99.0
Point Breeze,15.0
Point Breeze North,16.0
Polish Hill,14.0
Regent Square,0.0
Ridgemont,2.0
Saint Clair,0.0
Shadyside,5.0
Sheraden,94.0
South Oakland,24.0
South Shore,3.0
South Side Flats,62.0
South Side Slopes,67.0
Spring Garden,46.0
Spring Hill – City View,0.0
Spring Hill-City View,34.0
Squirrel Hill North,1.0
Squirrel Hill South,44.0
St. Clair,15.0
Stanton Heights,20.0
Strip District,11.0
Summer Hill,5.0
Swisshelm Park,3.0
Terrace Village,7.0
Troy Hill,24.0
Upper Hill,52.0
Upper Lawrenceville,33.0
West End,2.0
West Oakland,19.0
Westwood,14.0
Windgap,5.0
